74890897-2712.csv_1: True Class: high, Predicted: low, Probability: 0.6096032815869727
758358381-2748.csv_1: True Class: high, Predicted: low, Probability: 0.6076126859665699
758358381-2748.csv_2: True Class: low, Predicted: low, Probability: 0.6085600806996525
758658194-2749.csv_1: True Class: low, Predicted: low, Probability: 0.6151135131035658
758958008-2750.csv_1: True Class: low, Predicted: low, Probability: 0.6151135131035658
759257822-2751.csv_1: True Class: low, Predicted: low, Probability: 0.6151282976574386
759557958-2752.csv_1: True Class: low, Predicted: low, Probability: 0.6151335809924248
759858206-2753.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
760158170-2754.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
760458134-2755.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
760758097-2756.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
76090751-2757.csv_1: True Class: high, Predicted: low, Probability: 0.6107333250370427
76090751-2757.csv_2: True Class: low, Predicted: low, Probability: 0.6054251887191242
761058061-2758.csv_1: True Class: low, Predicted: low, Probability: 0.6151198163236233
761358010-2759.csv_1: True Class: low, Predicted: low, Probability: 0.6151066072207388
761657674-2760.csv_1: True Class: low, Predicted: low, Probability: 0.6151170355072526
761957567-2761.csv_1: True Class: low, Predicted: low, Probability: 0.6018705904069118
761957567-2761.csv_2: True Class: high, Predicted: low, Probability: 0.6137395231486784
761957567-2761.csv_3: True Class: low, Predicted: low, Probability: 0.6013866841754618
762257831-2762.csv_1: True Class: low, Predicted: low, Probability: 0.6151243582693365
762557880-2763.csv_1: True Class: low, Predicted: low, Probability: 0.6082797618751963
762557880-2763.csv_2: True Class: high, Predicted: low, Probability: 0.6031233228495695
762557880-2763.csv_3: True Class: low, Predicted: low, Probability: 0.6057111527355707
762857828-2764.csv_1: True Class: low, Predicted: low, Probability: 0.6151066072207388
763157492-2765.csv_1: True Class: low, Predicted: low, Probability: 0.6092176249139265
763157492-2765.csv_2: True Class: inactive, Predicted: low, Probability: 0.6069556369963577
763457386-2766.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151342298167458
763757650-2767.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151243582693365
76390714-2768.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
764057699-2769.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151203724838649
764357662-2770.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
764657626-2771.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151164793409455
764957504-2772.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151100370075326
765257242-2773.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151248680753616
765557303-2774.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151297343628285
765857466-2775.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151066072207388
766157130-2776.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151170355072526
766457023-2777.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151342298167458
766757287-2778.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151194455495697
76690678-2779.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
767057228-2780.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151141156228617
767357057-2781.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151273244015683
767657171-2782.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151246826914509
767957227-2783.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
768257191-2784.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305057
768557155-2785.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151203724838649
768857118-2786.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
769157082-2787.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
769457046-2788.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
769757009-2789.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305057
76990642-2790.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
770056973-2791.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151200017104828
770356926-2792.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151100370075328
770656664-2793.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151179161018389
770956575-2794.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151308003011764
771256764-2795.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151184722655361
771556684-2796.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151141156228617
771856513-2797.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151273244015683
772156627-2798.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151246826914513
772456683-2799.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
772756646-2800.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151179624488536
77290606-2801.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838644
773056556-2802.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151173135900296
773356453-2803.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151238948085773
773656492-2804.csv_1: True Class: inactive, Predicted: low, Probability: 0.615122550768406
773956502-2805.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
774256465-2806.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151105468374217
774556214-2807.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151078122853448
774855908-2808.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151342298167457
775156172-2809.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151289464929652
775456320-2810.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
775756284-2811.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151155060474766
77590569-2812.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305059
776056140-2813.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151141156228617
777351376-2814.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
777651340-2815.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151164793409455
777951218-2816.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151100370075326
778250956-2817.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151199553637788
778550910-2818.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151238948085773
778850949-2819.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151238484624632
77890532-2820.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
779150987-2821.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151225507684062
779450997-2822.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
779750961-2823.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151229215386982
7799052-2824.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151203724838645
780050979-2825.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151237094240772
780351014-2826.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
780650978-2827.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151203724838645
780950941-2828.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
781250905-2829.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305057
781550869-2830.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151199553637791
781850821-2831.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151100833557395
78190496-2832.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838649
782150560-2833.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151126788441189
782450356-2834.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151169428129408
782750245-2835.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151268145996379
783050348-2836.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151305222306611
783350530-2837.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151238948085773
783650569-2838.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151212530688457
783950550-2839.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151169428129408
784250439-2840.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151219019193144
784550435-2841.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151237094240772
784850470-2842.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
78490459-2843.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
785150434-2844.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151203724838645
785450397-2845.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
785750361-2846.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305057
786050325-2847.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151203724838649
786350288-2848.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
786650252-2849.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151151816156293
786950101-2850.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151066072207388
787249765-2851.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151238948085783
787549805-2852.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151300124340595
787849975-2853.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151135131035658
78790423-2854.csv_1: True Class: low, Predicted: low, Probability: 0.6151191211219015
788149789-2855.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151200480571823
788449746-2856.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151307539561078
788749935-2857.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151233386547406
789049962-2858.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
789349926-2859.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
789649890-2860.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151203724838645
789949853-2861.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
790249817-2862.csv_1: True Class: inactive, Predicted: low, Probability: 0.6065693453692692
790249817-2862.csv_2: True Class: high, Predicted: low, Probability: 0.6095990357808828
790549674-2863.csv_1: True Class: high, Predicted: low, Probability: 0.6084655006130097
790549674-2863.csv_2: True Class: low, Predicted: low, Probability: 0.6077081828541804
790849503-2864.csv_1: True Class: low, Predicted: low, Probability: 0.6151272780559729
79090358-2865.csv_1: True Class: low, Predicted: low, Probability: 0.6151169428129408
791149616-2866.csv_1: True Class: low, Predicted: low, Probability: 0.6151246826914508
791449672-2867.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
791749636-2868.csv_1: True Class: low, Predicted: low, Probability: 0.6151105468374213
792049385-2869.csv_1: True Class: low, Predicted: low, Probability: 0.6151077659367936
792349078-2870.csv_1: True Class: low, Predicted: low, Probability: 0.6151342298167458
792649342-2871.csv_1: True Class: low, Predicted: low, Probability: 0.6098006015929616
792649342-2871.csv_2: True Class: high, Predicted: low, Probability: 0.606379504805893
793449430-2872.csv_1: True Class: high, Predicted: low, Probability: 0.6151204188305054
793749394-2873.csv_1: True Class: high, Predicted: low, Probability: 0.6151155060474763
79390247-2874.csv_1: True Class: low, Predicted: low, Probability: 0.6151193992027799
794049251-2875.csv_1: True Class: high, Predicted: low, Probability: 0.6151141156228616
794349080-2876.csv_1: True Class: high, Predicted: low, Probability: 0.6151272780559729
794649193-2877.csv_1: True Class: high, Predicted: low, Probability: 0.6151246826914508
794949249-2878.csv_1: True Class: high, Predicted: low, Probability: 0.6151204188305054
795249213-2879.csv_1: True Class: high, Predicted: low, Probability: 0.6151204188305057
795549177-2880.csv_1: True Class: high, Predicted: low, Probability: 0.6151196309366521
795849121-2881.csv_1: True Class: high, Predicted: low, Probability: 0.615103177395497
796148710-2882.csv_1: True Class: high, Predicted: low, Probability: 0.6151123544092749
796448500-2883.csv_1: True Class: high, Predicted: low, Probability: 0.615127324401568
796748614-2884.csv_1: True Class: high, Predicted: low, Probability: 0.6151297807080517
79690189-2885.csv_1: True Class: low, Predicted: low, Probability: 0.615120557870387
797048781-2886.csv_1: True Class: high, Predicted: low, Probability: 0.6030285896642122
797048781-2886.csv_2: True Class: low, Predicted: low, Probability: 0.6094208021584638
797048781-2886.csv_3: True Class: high, Predicted: low, Probability: 0.6046615162764096
797348948-2887.csv_1: True Class: high, Predicted: low, Probability: 0.6075162109538809
797348948-2887.csv_2: True Class: low, Predicted: low, Probability: 0.6086528347243574
797648687-2888.csv_1: True Class: low, Predicted: low, Probability: 0.615117916101839
797948598-2889.csv_1: True Class: low, Predicted: low, Probability: 0.606288141537381
797948598-2889.csv_2: True Class: high, Predicted: low, Probability: 0.609892711310294
798248787-2890.csv_1: True Class: high, Predicted: low, Probability: 0.6024499265239521
798248787-2890.csv_2: True Class: low, Predicted: low, Probability: 0.6136357337285749
798548814-2891.csv_1: True Class: low, Predicted: low, Probability: 0.6151202797905609
798848774-2892.csv_1: True Class: low, Predicted: low, Probability: 0.6151169891601012
799148663-2893.csv_1: True Class: low, Predicted: low, Probability: 0.6151182405307847
799448580-2894.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
799748544-2895.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
79990156-2896.csv_1: True Class: low, Predicted: low, Probability: 0.6151238484624632
800048508-2897.csv_1: True Class: low, Predicted: low, Probability: 0.615120557870387
800348475-2898.csv_1: True Class: low, Predicted: low, Probability: 0.6151238948085773
800648514-2899.csv_1: True Class: low, Predicted: low, Probability: 0.6151225507684062
800948524-2900.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
801248488-2901.csv_1: True Class: low, Predicted: low, Probability: 0.6015797700173414
801248488-2901.csv_2: True Class: high, Predicted: low, Probability: 0.614470924226731
801548452-2902.csv_1: True Class: high, Predicted: low, Probability: 0.6067604547471347
801548452-2902.csv_2: True Class: low, Predicted: low, Probability: 0.6094137689127566
801848396-2903.csv_1: True Class: low, Predicted: low, Probability: 0.615103177395497
802147985-2904.csv_1: True Class: low, Predicted: low, Probability: 0.6092155939017276
802147985-2904.csv_2: True Class: high, Predicted: low, Probability: 0.6069541623907084
802447804-2905.csv_1: True Class: high, Predicted: low, Probability: 0.6074308215825736
802447804-2905.csv_2: True Class: low, Predicted: low, Probability: 0.6087588062869838
802747993-2906.csv_1: True Class: low, Predicted: low, Probability: 0.6151282976574394
80290194-2907.csv_1: True Class: low, Predicted: low, Probability: 0.615122550768406
803048128-2908.csv_1: True Class: low, Predicted: low, Probability: 0.6151268609453032
803348230-2909.csv_1: True Class: low, Predicted: low, Probability: 0.6151169891601012
803648119-2910.csv_1: True Class: low, Predicted: low, Probability: 0.6024485279121192
803648119-2910.csv_2: True Class: high, Predicted: low, Probability: 0.6136334517387741
803948065-2911.csv_1: True Class: high, Predicted: low, Probability: 0.6151238948085773
804248104-2912.csv_1: True Class: high, Predicted: low, Probability: 0.615121392108347
804548089-2913.csv_1: True Class: high, Predicted: low, Probability: 0.6107333720437905
804548089-2913.csv_2: True Class: low, Predicted: low, Probability: 0.6045639189243793
804548089-2913.csv_3: True Class: high, Predicted: low, Probability: 0.601772309231119
804848034-2914.csv_1: True Class: high, Predicted: low, Probability: 0.6102515605539746
804848034-2914.csv_2: True Class: low, Predicted: low, Probability: 0.6025433790126525
804848034-2914.csv_3: True Class: high, Predicted: low, Probability: 0.6042721991952815
805147623-2915.csv_1: True Class: high, Predicted: low, Probability: 0.6033128520374468
805147623-2915.csv_2: True Class: low, Predicted: low, Probability: 0.6127893590855604
805447413-2916.csv_1: True Class: low, Predicted: low, Probability: 0.6080937729129584
805447413-2916.csv_2: True Class: high, Predicted: low, Probability: 0.6080937729129584
805747527-2917.csv_1: True Class: high, Predicted: low, Probability: 0.6151199090170693
80590204-2918.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
806047479-2919.csv_1: True Class: high, Predicted: low, Probability: 0.6151176843666695
806347386-2920.csv_1: True Class: high, Predicted: low, Probability: 0.6151342298167458
806647650-2921.csv_1: True Class: high, Predicted: low, Probability: 0.6151289928383076
806947799-2922.csv_1: True Class: high, Predicted: low, Probability: 0.6149350224832176
806947799-2922.csv_2: True Class: low, Predicted: low, Probability: 0.601095877528378
807247763-2923.csv_1: True Class: low, Predicted: low, Probability: 0.6088458279937864
807247763-2923.csv_2: True Class: high, Predicted: low, Probability: 0.6073279252649261
807547619-2924.csv_1: True Class: high, Predicted: low, Probability: 0.6071379603950237
807547619-2924.csv_2: True Class: low, Predicted: low, Probability: 0.6090334112656557
807847448-2925.csv_1: True Class: low, Predicted: low, Probability: 0.6151273244015683
808147562-2926.csv_1: True Class: low, Predicted: low, Probability: 0.6034131299904333
808147562-2926.csv_2: True Class: high, Predicted: low, Probability: 0.612704309442879
808447618-2927.csv_1: True Class: high, Predicted: low, Probability: 0.6035080893784898
808447618-2927.csv_2: True Class: low, Predicted: low, Probability: 0.6126077888948716
808747581-2928.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
80890168-2929.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
809047545-2930.csv_1: True Class: low, Predicted: low, Probability: 0.6151202797905609
809347505-2931.csv_1: True Class: low, Predicted: low, Probability: 0.6151169891601012
809647394-2932.csv_1: True Class: low, Predicted: low, Probability: 0.6151195845898929
8099015-2933.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
809947340-2934.csv_1: True Class: low, Predicted: low, Probability: 0.6151238948085773
810247379-2935.csv_1: True Class: low, Predicted: low, Probability: 0.615121392108347
810547364-2936.csv_1: True Class: low, Predicted: low, Probability: 0.6053295883912603
810547364-2936.csv_2: True Class: high, Predicted: low, Probability: 0.6108273244921046
810847328-2937.csv_1: True Class: high, Predicted: low, Probability: 0.6108273244921048
810847328-2937.csv_2: True Class: low, Predicted: low, Probability: 0.6053295883912604
811147292-2938.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838645
811447255-2939.csv_1: True Class: low, Predicted: low, Probability: 0.6136339174523464
811447255-2939.csv_2: True Class: high, Predicted: low, Probability: 0.6024488655086188
811747219-2940.csv_1: True Class: high, Predicted: low, Probability: 0.6095089641144051
811747219-2940.csv_2: True Class: low, Predicted: low, Probability: 0.6066652950837951
81190132-2941.csv_1: True Class: low, Predicted: low, Probability: 0.6151200944038706
812047183-2942.csv_1: True Class: low, Predicted: low, Probability: 0.6119529859405806
812047183-2942.csv_2: True Class: high, Predicted: low, Probability: 0.6041803388298456
812347146-2943.csv_1: True Class: high, Predicted: low, Probability: 0.603988428397748
812347146-2943.csv_2: True Class: low, Predicted: low, Probability: 0.6121401795320598
812647110-2944.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
812947074-2945.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
813247037-2946.csv_1: True Class: low, Predicted: low, Probability: 0.6022559454874166
813247037-2946.csv_2: True Class: high, Predicted: low, Probability: 0.6138201000142379
813547001-2947.csv_1: True Class: high, Predicted: low, Probability: 0.6079954986499237
813547001-2947.csv_2: True Class: low, Predicted: low, Probability: 0.6081844353159251
813846950-2948.csv_1: True Class: low, Predicted: low, Probability: 0.6151066072207388
814146614-2949.csv_1: True Class: low, Predicted: low, Probability: 0.6151170818543988
814446508-2950.csv_1: True Class: low, Predicted: low, Probability: 0.6151342298167456
814746771-2951.csv_1: True Class: low, Predicted: low, Probability: 0.6151243582693365
81490088-2952.csv_1: True Class: low, Predicted: low, Probability: 0.6151134667558787
815046820-2953.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
815346784-2954.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
815646748-2955.csv_1: True Class: low, Predicted: low, Probability: 0.6062841852158919
815646748-2955.csv_2: True Class: high, Predicted: low, Probability: 0.6098861598673896
815946711-2956.csv_1: True Class: high, Predicted: low, Probability: 0.6151204188305054
816246675-2957.csv_1: True Class: high, Predicted: low, Probability: 0.6136339174523467
816246675-2957.csv_2: True Class: low, Predicted: low, Probability: 0.6024488655086186
816546639-2958.csv_1: True Class: low, Predicted: low, Probability: 0.6015797216631299
816546639-2958.csv_2: True Class: high, Predicted: low, Probability: 0.6120466201823823
816546639-2958.csv_3: True Class: low, Predicted: low, Probability: 0.6034118797096992
816846602-2959.csv_1: True Class: low, Predicted: low, Probability: 0.6125143232132487
816846602-2959.csv_2: True Class: high, Predicted: low, Probability: 0.6036041748422267
817146566-2960.csv_1: True Class: high, Predicted: low, Probability: 0.6151204188305054
817446530-2961.csv_1: True Class: high, Predicted: low, Probability: 0.6018697207891751
817446530-2961.csv_2: True Class: low, Predicted: low, Probability: 0.6141921746980654
817746494-2962.csv_1: True Class: low, Predicted: low, Probability: 0.6151179624488532
81789901-2963.csv_1: True Class: low, Predicted: low, Probability: 0.6151187503470044
818046404-2964.csv_1: True Class: low, Predicted: low, Probability: 0.6151172672429186
818346300-2965.csv_1: True Class: low, Predicted: low, Probability: 0.6151238948085773
818646339-2966.csv_1: True Class: low, Predicted: low, Probability: 0.615122550768406
818946349-2967.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
819246312-2968.csv_1: True Class: low, Predicted: low, Probability: 0.6151179624488536
819546222-2969.csv_1: True Class: low, Predicted: low, Probability: 0.6151173135900296
819846119-2970.csv_1: True Class: low, Predicted: low, Probability: 0.6151238484624632
820146157-2971.csv_1: True Class: low, Predicted: low, Probability: 0.6151173135900267
820446052-2972.csv_1: True Class: low, Predicted: low, Probability: 0.6151066072207388
820745716-2973.csv_1: True Class: low, Predicted: low, Probability: 0.6024474668923123
820745716-2973.csv_2: True Class: high, Predicted: low, Probability: 0.611583699841391
820745716-2973.csv_3: True Class: low, Predicted: low, Probability: 0.6030290711006828
82089830-2974.csv_1: True Class: low, Predicted: low, Probability: 0.6151272780559727
821045810-2975.csv_1: True Class: low, Predicted: low, Probability: 0.6151336273370647
821346059-2976.csv_1: True Class: low, Predicted: low, Probability: 0.6085638671063495
821346059-2976.csv_2: True Class: high, Predicted: low, Probability: 0.6044680180666058
821346059-2976.csv_3: True Class: low, Predicted: low, Probability: 0.6040843736435982
821646023-2977.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838645
821945986-2978.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
822245950-2979.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
822545914-2980.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838649
822845877-2981.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
823145841-2982.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
823445805-2983.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
823745769-2984.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
82389943-2985.csv_1: True Class: low, Predicted: low, Probability: 0.6151199090170696
824045733-2986.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838649
824345696-2987.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
824645660-2988.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
824945624-2989.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
825245587-2990.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
825545551-2991.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
825845515-2992.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
826145479-2993.csv_1: True Class: low, Predicted: low, Probability: 0.6151190747750637
826445413-2994.csv_1: True Class: low, Predicted: low, Probability: 0.6148388726086073
826445413-2994.csv_2: True Class: high, Predicted: low, Probability: 0.6011926636781691
826745302-2995.csv_1: True Class: high, Predicted: low, Probability: 0.6058060681106312
826745302-2995.csv_2: True Class: low, Predicted: low, Probability: 0.6103547872214728
82689895-2996.csv_1: True Class: low, Predicted: low, Probability: 0.6151173135900296
827045191-2997.csv_1: True Class: low, Predicted: low, Probability: 0.6151174526313222
827345092-2998.csv_1: True Class: low, Predicted: low, Probability: 0.6151272780559729
827645205-2999.csv_1: True Class: low, Predicted: low, Probability: 0.613824428504948
827645205-2999.csv_2: True Class: high, Predicted: low, Probability: 0.6022558972313287
827945261-3000.csv_1: True Class: high, Predicted: low, Probability: 0.6118593704407758
827945261-3000.csv_2: True Class: low, Predicted: low, Probability: 0.6042762279903925
828245225-3001.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
828545189-3002.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838649
828845152-3003.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
829145116-3004.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
829445080-3005.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
829745044-3006.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
