Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence747.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence748.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence749.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence75.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence750.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence751.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence752.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence753.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence754.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence755.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence756.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence757.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence758.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence759.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence76.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence760.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence761.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence762.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence763.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence764.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence765.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence766.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence767.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence768.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence769.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence77.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence770.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence771.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence772.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence773.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence774.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence775.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence776.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence777.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence778.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence779.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence78.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence780.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence781.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence782.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence783.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence784.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence785.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence786.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence787.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence788.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence789.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence79.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence790.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence791.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence792.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence793.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence794.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence795.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence796.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence797.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence798.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence799.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence8.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence80.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence800.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence801.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence802.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence803.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence804.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence805.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence806.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence807.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence808.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence809.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence81.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence810.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence811.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence812.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence813.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence814.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence815.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence816.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence817.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence818.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence819.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence82.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence820.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence821.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence822.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence823.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence824.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence825.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence826.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence827.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence828.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence829.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence83.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence830.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence831.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence832.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence833.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence834.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence835.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence836.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence837.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence838.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence839.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence84.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence840.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence841.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence842.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence843.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence844.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence845.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence846.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence847.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence848.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence849.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence85.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence850.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence851.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence852.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence853.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence854.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence855.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence856.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence857.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence858.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence859.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence86.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence860.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence861.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence862.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence863.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence864.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence865.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence866.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence867.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence868.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence869.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence87.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence870.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence871.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence872.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence873.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence874.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence875.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence876.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence877.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence878.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence879.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
