Sequence549.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence597.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence598.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence599.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence6.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence60.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence600.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence601.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence602.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence603.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence604.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence605.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence606.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence607.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence608.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence609.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence61.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence610.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence611.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence612.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence613.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence614.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence615.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence616.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence617.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence618.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence619.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence62.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence620.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence621.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence622.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence623.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence624.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence625.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence626.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence627.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence628.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence629.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence63.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence630.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence631.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence632.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence633.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence634.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence635.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence636.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence637.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence638.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence639.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence64.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence640.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence641.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence642.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence643.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence644.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence645.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence646.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence647.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence648.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence649.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence65.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence650.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence651.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence652.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence653.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence654.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence655.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence656.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence657.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence658.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence659.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence66.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence660.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence661.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence662.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence663.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence664.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence665.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence666.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence667.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence668.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence669.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence67.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence670.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence671.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence672.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence673.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence674.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence675.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence676.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence677.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence678.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence679.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence68.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence680.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence681.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence682.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence683.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence684.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence685.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence686.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence687.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence688.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence689.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence69.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence690.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence691.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence692.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence693.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence694.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence695.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence696.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence697.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence698.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence699.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence7.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence70.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence700.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence701.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence702.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence703.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence704.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence705.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence706.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence707.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence708.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence709.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence71.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence710.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence711.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence712.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence713.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence714.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence715.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence716.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence717.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence718.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence719.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence72.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence720.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence721.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence722.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence723.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence724.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence725.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence726.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence727.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence728.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence729.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence73.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence730.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence731.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence732.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence733.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence734.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence735.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence736.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence737.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence738.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence739.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence74.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence740.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence741.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence742.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence743.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence744.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence745.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence746.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence747.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence748.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence749.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence75.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence750.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence751.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence752.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence753.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence754.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence755.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence756.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence757.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence758.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence759.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence76.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence760.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence761.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence762.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence763.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence764.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence765.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence766.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence767.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence768.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence769.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence77.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence770.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence771.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence772.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence773.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence774.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence775.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence776.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence777.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence778.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence779.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence78.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence780.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence781.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence782.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence783.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence784.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence785.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence786.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence787.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence788.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence789.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence79.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence790.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence791.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence792.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence793.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence794.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence795.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence796.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence797.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence798.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence799.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence8.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence80.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence800.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence801.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence802.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence803.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence804.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence805.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence806.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence807.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence808.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence809.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence81.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence810.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence811.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence812.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence813.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence814.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence815.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence816.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence817.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence818.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence819.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence82.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence820.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence821.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence822.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence823.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence824.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence825.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence826.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence827.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence828.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence829.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence83.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence830.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence831.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence832.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence833.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence834.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence835.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence836.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence837.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence838.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence839.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence84.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence840.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence841.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence842.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence843.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence844.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence845.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence846.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence847.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence848.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence849.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence85.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence850.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence851.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence852.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence853.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence854.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence855.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence856.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence857.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence858.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence859.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence86.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence860.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence861.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence862.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence863.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence864.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence865.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence866.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence867.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence868.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence869.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence87.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence870.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence871.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence872.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence873.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence874.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence875.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence876.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence877.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence878.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence879.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
