Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence608.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence610.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence612.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence613.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence617.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence619.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence62.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence621.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence622.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence623.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence625.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence626.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence627.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence628.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence629.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence63.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence630.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence632.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence633.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence634.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence635.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence636.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence637.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence638.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence639.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence64.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence640.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence641.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence642.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence643.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence644.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence645.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence646.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence647.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence648.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence649.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence65.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence650.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence651.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence652.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence653.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence654.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence655.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence656.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence657.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence658.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence659.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence66.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence660.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence661.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence662.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence663.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence664.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence665.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence666.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence667.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence668.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence669.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence67.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence670.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence671.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence672.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence673.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence674.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence675.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence676.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence677.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence678.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence679.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence68.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence680.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence681.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence682.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence683.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence684.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence685.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence686.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence687.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence688.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence689.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence69.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence690.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence691.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence692.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence693.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence694.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence695.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence696.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence697.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence698.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence699.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence7.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence70.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence700.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence701.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence702.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence703.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence704.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence705.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence706.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence707.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence708.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence709.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence71.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence710.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence711.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence712.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence713.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence714.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence715.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence716.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence717.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence718.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence719.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence72.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence720.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence721.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence722.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence723.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence724.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence725.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence726.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence727.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence728.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence729.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence73.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence730.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence731.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence732.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence733.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence734.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence735.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence736.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence737.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence738.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence739.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence74.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence740.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence741.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence742.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence743.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence744.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence745.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence746.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence747.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence748.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence749.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence75.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence750.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence751.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence752.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence753.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence754.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence755.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence756.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence757.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence758.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence759.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence76.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence760.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence761.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence762.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence763.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence764.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence765.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence766.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence767.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence768.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence769.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence77.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence770.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence771.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence772.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence773.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence774.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence775.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence776.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence777.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence778.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence779.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence78.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence780.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence781.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence782.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence783.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence784.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence785.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence786.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence787.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence788.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence789.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence79.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence790.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence791.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence792.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence793.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence794.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence795.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence796.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence797.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence798.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence799.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence8.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence80.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence800.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence801.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence802.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence803.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence804.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence805.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence806.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence807.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence808.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence809.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence81.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence810.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence811.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence812.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence813.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence814.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence815.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence816.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence817.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence818.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence819.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence82.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence820.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence821.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence822.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence823.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence824.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence825.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence826.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence827.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence828.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence829.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence83.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence830.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence831.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence832.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence833.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence834.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence835.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence836.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence837.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence838.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence839.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence84.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence840.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence841.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence842.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence843.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence844.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence845.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence846.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence847.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence848.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence849.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence85.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence850.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence851.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence852.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence853.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence854.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence855.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence856.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence857.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence858.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence859.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence86.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence860.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence861.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence862.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence863.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence864.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence865.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence866.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence867.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence868.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence869.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence87.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence870.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence871.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence872.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence873.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence874.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence875.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence876.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence877.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence878.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence879.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
